Setup title,Diode IV Fwd,,,,,,,,,
Application test name,Diode IV Fwd,,,,,,,,,
Test date,10/17/19,,,,,,,,,
Test time,14:47:21,,,,,,,,,
Device ID,,,,,,,,,,
Count,1,,,,,,,,,
Flags,,,,,,,,,,
Remarks,,,,,,,,,,
Name,Anode,Cathode,VanodeStart,VanodeStop,VanodeStep,Vcathode,IntegTime,HoldTime,DelayTime,AnodeMinRng
Value,"SMU3:MP	MPSMU","SMU4:MP	MPSMU",0,1.5,0.05,0,MEDIUM,0,0,1nA
Name,Temp,Imax,,,,,,,,
Value,T>25,0.05,,,,,,,,
Vanode,Ianode,,,,,,,,,
0,-1.86E-09,,,,,,,,,
0.05,6.08E-06,,,,,,,,,
0.1,1.77E-05,,,,,,,,,
0.15,4.01E-05,,,,,,,,,
0.2,8.42E-05,,,,,,,,,
0.25,0.000171402,,,,,,,,,
0.3,0.000344891,,,,,,,,,
0.35,0.000693601,,,,,,,,,
0.4,0.00139815,,,,,,,,,
0.45,0.00280359,,,,,,,,,
0.5,0.00549608,,,,,,,,,
0.55,0.01031327,,,,,,,,,
0.6,0.0182138,,,,,,,,,
0.65,0.0300157,,,,,,,,,
0.7,0.0462064,,,,,,,,,
0.75,0.0499993,,,,,,,,,
0.8,0.0499995,,,,,,,,,
0.85,0.0499997,,,,,,,,,
0.9,0.049999,,,,,,,,,
0.95,0.0499991,,,,,,,,,
1,0.0499995,,,,,,,,,
1.05,0.0499994,,,,,,,,,
1.1,0.0499996,,,,,,,,,
1.15,0.0499994,,,,,,,,,
1.2,0.0499998,,,,,,,,,
1.25,0.0499994,,,,,,,,,
1.3,0.0499993,,,,,,,,,
1.35,0.0499995,,,,,,,,,
1.4,0.0499998,,,,,,,,,
1.45,0.0499997,,,,,,,,,
1.5,0.0499998,,,,,,,,,